StockName,StockCode,CurrentPrice,Price_Change_Value,Price_Change_Status,Volume,VolumeChangeRate,Action,Candle_Pattern,MACD_Trend,RSI_Status,Volume_Trend,Price_vs_Bollinger,Slope_5,Slope_20,Slope_60,Slope_120,Recent_Max_Volume_Date,Recent_Max_Volume_Change,Recent_Max_Volume_Trend,Recent_Max_Volume_Value,Support_1,Support_2,Support_3,Resistance_1,Resistance_2,Resistance_3
하나금융지주,86790,59700,2.401372212692965,상승,622896,-57.095891882881844,관망(거래량 감소),장대양봉,하락,중립,감소,중간,상승,하락,하락,하락,2024-12-12,1.3513513513513598,상승,1884109,58400.00 (2024-06-18),53100.00 (2023-01-26),52400.00 (2022-02-17),64700.00 (2024-07-31),66500.00 (2024-10-25),68800.00 (2024-08-26)
S-Oil,10950,56600,-0.17636684303351524,하락,34092,-72.80407157159154,관망(거래량 감소),음봉,상승,중립,감소,중간,하락,하락,하락,하락,2024-12-17,-2.409638554216864,하락,125357,54300.00 (2024-11-15),54300.00 (2020-10-30),50300.00 (2020-09-24),57400.00 (2024-09-11),58300.00 (2020-10-23),59900.00 (2024-11-05)
넷마블,251270,55700,0.17985611510791255,상승,20765,-68.60684859021846,관망(거래량 감소),도지,상승,중립,감소,중간,상승,상승,하락,상승,2024-12-12,3.2667876588021727,상승,188338,54400.00 (2023-12-15),54300.00 (2022-12-02),53100.00 (2024-04-25),56600.00 (2023-02-15),56600.00 (2024-03-07),57100.00 (2024-08-19)
신한지주,55550,50100,2.9804727646454365,상승,836966,-48.54740408957172,관망(거래량 감소),장대양봉,하락,중립,감소,중간,하락,하락,하락,상승,2024-12-13,-2.1739130434782594,하락,2268368,49000.00 (2024-05-20),45400.00 (2024-06-04),45300.00 (2024-02-02),51500.00 (2024-03-14),52800.00 (2024-08-05),58100.00 (2024-10-14)
두산밥캣,241560,44250,5.988023952095811,상승,528849,-47.23092811279243,관망(거래량 감소),장대양봉,상승,중립,감소,중간,상승,상승,상승,하락,2024-12-16,-3.1468531468531458,하락,2393132,43950.00 (2024-01-17),43550.00 (2024-10-21),43500.00 (2022-04-15),44900.00 (2021-11-10),45300.00 (2021-06-21),45600.00 (2023-11-30)
카카오,35720,43000,0.3500583430571691,상승,947524,-53.08992199014493,관망(거래량 감소),도지,하락,중립,감소,중간,하락,상승,상승,상승,2024-12-13,5.034324942791768,상승,4615083,42750.00 (2024-07-10),40000.00 (2024-07-02),39400.00 (2024-10-21),46750.00 (2024-04-16),47300.00 (2022-10-13),48850.00 (2023-07-05)
삼성카드,29780,40600,-0.8547008547008517,하락,33893,-77.68038827023503,관망(거래량 감소),음봉,하락,중립,감소,중간,상승,상승,하락,상승,2024-12-12,1.7369727047146455,상승,120003,40150.00 (2024-04-29),40000.00 (2024-10-10),39900.00 (2024-07-11),41500.00 (2024-03-25),42100.00 (2024-07-31),43300.00 (2024-06-13)
한국가스공사,36460,34550,-0.4322766570605152,하락,510549,-67.10132142693747,관망(거래량 감소),음봉,하락,과매도,감소,중간,상승,하락,하락,하락,2024-12-16,3.6753445635528292,상승,1478852,34400.00 (2023-01-27),33450.00 (2022-01-27),33200.00 (2022-07-15),34750.00 (2022-02-22),34900.00 (2021-04-30),35050.00 (2021-11-30)
현대건설,720,25950,0.5813953488372103,상승,167113,-52.80506988316562,관망(거래량 감소),양봉,상승,중립,감소,중간,상승,하락,하락,하락,2024-12-12,0.5893909626718985,상승,840632,18778.00 (2020-03-19),,,27900.00 (2024-10-31),28849.00 (2020-09-24),29500.00 (2024-11-06)
한국전력,15760,21200,-0.46948356807511304,하락,972549,-23.097074673129615,관망(거래량 감소),음봉,하락,과매도,감소,중간,하락,하락,하락,상승,2024-12-12,-1.3986013986013957,하락,2340214,21050.00 (2022-04-27),20750.00 (2021-11-30),20700.00 (2023-07-13),21250.00 (2020-05-22),21500.00 (2024-11-12),21750.00 (2020-10-21)
카카오게임즈,293490,18940,-0.05277044854881119,하락,1487745,17.487654969323984,관망(거래량 감소),위꼬리 긴 음봉,상승,중립,감소,중간,상승,상승,상승,하락,2024-12-13,18.279569892473123,상승,8208317,18630.00 (2024-11-05),17000.00 (2024-08-13),16420.00 (2024-10-18),19250.00 (2024-08-02),20000.00 (2024-04-15),21700.00 (2024-06-19)
GS건설,6360,18240,-1.0309278350515427,하락,105006,-69.76878762491255,관망(거래량 감소),음봉,하락,중립,감소,중간,상승,상승,하락,상승,2024-12-13,2.0340846619021358,상승,253149,16970.00 (2023-11-22),16920.00 (2024-11-13),16750.00 (2024-08-07),18250.00 (2024-09-06),18420.00 (2024-11-06),19020.00 (2024-10-17)
두산에너빌리티,34020,18150,3.7735849056603765,상승,3879305,-4.998000437381367,관망(거래량 감소),장대양봉,하락,과매도,감소,중간,상승,하락,상승,하락,2024-12-12,3.482298316889154,상승,10237930,18140.00 (2023-03-09),17900.00 (2023-09-19),17518.00 (2021-10-06),18230.00 (2024-03-14),18339.00 (2021-11-30),18710.00 (2024-09-19)
우리금융지주,316140,15610,2.4278215223097144,상승,1030579,-69.43511948454449,관망(거래량 감소),장대양봉,하락,중립,감소,중간,하락,하락,하락,상승,2024-12-17,-2.744097000638157,하락,3371775,15450.00 (2022-03-29),15430.00 (2024-10-31),14920.00 (2024-09-11),15700.00 (2022-05-17),16200.00 (2022-04-22),16330.00 (2024-07-29)
넥슨게임즈,225570,13890,-1.0683760683760646,하락,169401,-46.0563061843819,관망(거래량 감소),음봉,상승,중립,감소,중간,상승,상승,하락,하락,2024-12-13,6.7164179104477695,상승,1180145,13800.00 (2023-02-15),13600.00 (2021-08-05),13550.00 (2024-05-28),14030.00 (2024-06-24),14100.00 (2022-06-23),14200.00 (2024-01-04)
삼양식품,3230,706000,-4.07608695652174,하락,81289,-42.23433436136496,관망,음봉,상승,과매수,감소,중간,상승,상승,상승,상승,2024-12-16,6.113537117903922,상승,128425,679000.00 (2024-07-24),602000.00 (2024-11-05),588000.00 (2024-07-04),712000.00 (2024-06-18),,
두산,150,254500,-3.9622641509433953,하락,129613,-18.722134082486253,매수 대기(반등 가능성 높음),음봉,상승,과매수,감소,중간,상승,상승,상승,상승,2024-12-12,10.45454545454545,상승,281327,241500.00 (2024-07-11),237500.00 (2024-11-15),234000.00 (2024-06-13),,,
파마리서치,214450,251500,-3.0828516377649273,하락,94213,-14.498724918095274,매수 대기(반등 가능성 높음),음봉,상승,과매수,감소,중간,상승,상승,상승,상승,2024-12-16,4.489795918367356,상승,266046,235500.00 (2024-11-06),195900.00 (2024-11-19),188100.00 (2024-08-16),,,
현대차,5380,216000,4.600484261501214,상승,529972,-25.93532554541732,관망,장대양봉,상승,중립,감소,중간,상승,하락,하락,하락,2024-12-18,4.600484261501214,상승,529972,215500.00 (2021-12-24),215500.00 (2021-03-26),208500.00 (2023-07-14),218000.00 (2021-07-30),224000.00 (2024-08-05),226000.00 (2021-07-09)
아프리카TV,67160,95700,-4.10821643286573,하락,66964,1.9890950074629155,매수 대기(반등 가능성 높음),음봉,하락,중립,감소,중간,하락,하락,하락,하락,2024-12-16,-4.5675413022351785,하락,107339,95200.00 (2023-02-08),93900.00 (2023-09-13),89600.00 (2024-08-05),97400.00 (2022-05-12),97800.00 (2024-09-06),98500.00 (2021-05-07)
LG전자,66570,91900,5.87557603686637,상승,639085,71.97363959765136,관망,장대양봉,상승,중립,증가,중간,상승,하락,하락,하락,2024-12-18,5.87557603686637,상승,639085,91200.00 (2024-01-18),89700.00 (2024-08-05),89500.00 (2022-11-22),92200.00 (2020-12-22),92800.00 (2022-08-10),93200.00 (2020-09-10)
진에어,272450,10180,-0.09813542688911214,하락,132336,-56.03718050083384,관망,음봉,하락,중립,감소,중간,하락,하락,하락,하락,2024-12-17,-3.8679245283018915,하락,301018,10010.00 (2024-09-10),9641.00 (2020-04-20),9500.00 (2024-08-13),10310.00 (2023-10-20),10500.00 (2024-09-27),10900.00 (2023-11-13)
BGF리테일,35510,10110,14.366515837104066,상승,2353738,14351.636274329221,"관망(볼린저 상단, 신호 부족)",양봉,상승,중립,증가,상단,상승,상승,상승,하락,2024-12-18,14.366515837104066,상승,2353738,9750.00 (2024-08-26),8940.00 (2024-08-05),7410.00 (2020-03-19),10130.00 (2024-10-23),10300.00 (2020-03-06),10720.00 (2024-04-16)
라온테크,232680,6250,-0.4777070063694322,하락,15515,34.51534593376104,관망,위꼬리 긴 음봉,하락,과매도,증가,중간,하락,하락,하락,하락,2024-12-18,-0.4777070063694322,하락,15515,6100.00 (2024-10-22),5700.00 (2020-06-03),5400.00 (2020-02-12),6740.00 (2024-11-14),6760.00 (2024-09-10),6970.00 (2024-08-05)
코미팜,41960,3845,-1.5364916773367487,하락,57904,-12.045447641036544,관망,음봉,상승,과매도,감소,중간,하락,하락,하락,하락,2024-12-12,-1.6497461928933976,하락,65184,,,,3870.00 (2024-08-05),3895.00 (2023-12-15),4070.00 (2024-02-28)
