Date,StockName,StockCode,Open,High,Low,Close,Volume,Change
2020-01-02,S-Oil,010950,95100,95200,91800,91900,250460,-0.03567681007345225
2020-01-03,S-Oil,010950,92800,94300,92300,93500,307012,0.017410228509249226
2020-01-06,S-Oil,010950,95000,97000,93200,93400,385159,-0.0010695187165775666
2020-01-07,S-Oil,010950,93700,93700,91700,91900,262893,-0.016059957173447548
2020-01-08,S-Oil,010950,91600,91700,88100,88100,444611,-0.041349292709466856
2020-01-09,S-Oil,010950,89200,89700,86900,87400,458659,-0.007945516458569779
2020-01-10,S-Oil,010950,87100,87800,86100,87200,317253,-0.0022883295194507935
2020-01-13,S-Oil,010950,87300,87300,84300,85700,526878,-0.017201834862385357
2020-01-14,S-Oil,010950,85700,86000,85000,85300,415078,-0.004667444574095736
2020-01-15,S-Oil,010950,85100,85900,84500,85500,230389,0.0023446658851113966
2020-01-16,S-Oil,010950,85500,85600,83300,83900,480607,-0.018713450292397682
2020-01-17,S-Oil,010950,83800,84300,83300,84100,264270,0.0023837902264600697
2020-01-20,S-Oil,010950,84300,84500,83600,83700,244466,-0.0047562425683710385
2020-01-21,S-Oil,010950,83800,84100,83300,83300,179551,-0.004778972520907976
2020-01-22,S-Oil,010950,83300,83800,82800,82900,214039,-0.004801920768307322
2020-01-23,S-Oil,010950,82700,82900,80800,80900,409706,-0.024125452352231624
2020-01-28,S-Oil,010950,78500,78700,76100,76400,622315,-0.05562422744128559
2020-01-29,S-Oil,010950,77000,78000,76100,77200,347143,0.010471204188481575
2020-01-30,S-Oil,010950,77700,78200,75100,75800,376570,-0.01813471502590669
2020-01-31,S-Oil,010950,75900,77700,74000,76200,560359,0.005277044854881341
2020-02-03,S-Oil,010950,75300,75600,72700,73500,523043,-0.03543307086614178
2020-02-04,S-Oil,010950,73100,74500,73000,73400,513361,-0.0013605442176870541
2020-02-05,S-Oil,010950,73800,75900,73400,75200,575284,0.02452316076294281
2020-02-06,S-Oil,010950,77200,77900,75700,77800,447875,0.034574468085106336
2020-02-07,S-Oil,010950,77300,77500,75500,76700,313320,-0.014138817480719768
2020-02-10,S-Oil,010950,76100,77900,75600,77600,336966,0.011734028683181297
2020-02-11,S-Oil,010950,77800,79200,77600,79200,336883,0.020618556701030855
2020-02-12,S-Oil,010950,78600,79000,77500,77600,346857,-0.02020202020202022
2020-02-13,S-Oil,010950,78000,78900,77200,77600,363061,0.0
2020-02-14,S-Oil,010950,77100,77300,76100,76200,304735,-0.01804123711340211
2020-02-17,S-Oil,010950,76300,78100,75600,77800,312738,0.0209973753280841
2020-02-18,S-Oil,010950,77900,79200,76800,77900,379052,0.0012853470437017567
2020-02-19,S-Oil,010950,78900,78900,76500,76800,227356,-0.014120667522464658
2020-02-20,S-Oil,010950,77000,78200,76000,76100,252950,-0.00911458333333337
2020-02-21,S-Oil,010950,75100,75400,74200,74200,234110,-0.024967148488830526
2020-02-24,S-Oil,010950,72000,74200,71600,71600,323598,-0.035040431266846306
2020-02-25,S-Oil,010950,70300,72100,69800,71200,420904,-0.005586592178770999
2020-02-26,S-Oil,010950,69500,71000,69500,70500,302406,-0.0098314606741573
2020-02-27,S-Oil,010950,70200,70300,68600,68800,419224,-0.024113475177305
2020-02-28,S-Oil,010950,67000,67400,66400,66600,499606,-0.03197674418604646
2020-03-02,S-Oil,010950,66200,69000,65600,66700,476684,0.0015015015015014122
2020-03-03,S-Oil,010950,68000,68800,67400,68100,342713,0.020989505247376306
2020-03-04,S-Oil,010950,67300,68900,67000,67500,326733,-0.008810572687224627
2020-03-05,S-Oil,010950,68100,68200,67300,67800,298011,0.004444444444444473
2020-03-06,S-Oil,010950,67300,67300,63700,64300,653980,-0.05162241887905605
2020-03-09,S-Oil,010950,60400,60600,57900,58000,1265350,-0.09797822706065318
2020-03-10,S-Oil,010950,56900,63000,56100,61300,1214591,0.05689655172413799
2020-03-11,S-Oil,010950,64400,65000,61700,62500,677412,0.019575856443719397
2020-03-12,S-Oil,010950,62400,62400,58000,59000,784837,-0.05600000000000005
2020-03-13,S-Oil,010950,55000,57800,53400,56900,905189,-0.035593220338983045
2020-03-16,S-Oil,010950,56900,59100,56000,56000,490831,-0.01581722319859402
2020-03-17,S-Oil,010950,54000,58400,53500,57800,577464,0.03214285714285725
