Date,StockName,StockCode,Open,High,Low,Close,Volume,Change
2020-01-02,삼성전자,005930,55500,56000,55000,55200,12993228,-0.010752688172043001
2020-01-03,삼성전자,005930,56000,56600,54900,55500,15422255,0.005434782608695565
2020-01-06,삼성전자,005930,54900,55600,54600,55500,10278951,0.0
2020-01-07,삼성전자,005930,55700,56400,55600,55800,10009778,0.00540540540540535
2020-01-08,삼성전자,005930,56200,57400,55900,56800,23501171,0.017921146953405076
2020-01-09,삼성전자,005930,58400,58600,57400,58600,24102579,0.03169014084507049
2020-01-10,삼성전자,005930,58800,59700,58300,59500,16000170,0.015358361774743923
2020-01-13,삼성전자,005930,59600,60000,59100,60000,11359139,0.008403361344537785
2020-01-14,삼성전자,005930,60400,61000,59900,60000,16906295,0.0
2020-01-15,삼성전자,005930,59500,59600,58900,59000,14300928,-0.01666666666666672
2020-01-16,삼성전자,005930,59100,60700,59000,60700,14381774,0.028813559322034
2020-01-17,삼성전자,005930,61900,62000,61000,61300,16025661,0.009884678747940745
2020-01-20,삼성전자,005930,62000,62800,61700,62400,12528855,0.01794453507340954
2020-01-21,삼성전자,005930,62000,62400,61200,61400,11142693,-0.01602564102564108
2020-01-22,삼성전자,005930,60500,62600,60400,62300,15339565,0.014657980456026065
2020-01-23,삼성전자,005930,61800,61800,60700,60800,14916555,-0.024077046548956704
2020-01-28,삼성전자,005930,59400,59400,58300,58800,23664541,-0.03289473684210531
2020-01-29,삼성전자,005930,59100,59700,58800,59100,16446102,0.005102040816326481
2020-01-30,삼성전자,005930,58800,58800,56800,57200,20821939,-0.032148900169204686
2020-01-31,삼성전자,005930,57800,58400,56400,56400,19749457,-0.013986013986013957
2020-02-03,삼성전자,005930,55500,57400,55200,57200,23995260,0.014184397163120588
2020-02-04,삼성전자,005930,57100,59000,56800,58900,21800192,0.029720279720279796
2020-02-05,삼성전자,005930,60000,60200,58900,59500,19278165,0.01018675721561979
2020-02-06,삼성전자,005930,60100,61100,59700,61100,14727159,0.026890756302520913
2020-02-07,삼성전자,005930,61100,61200,59700,60400,16402493,-0.011456628477905073
2020-02-10,삼성전자,005930,59200,59800,59100,59700,13107121,-0.011589403973509937
2020-02-11,삼성전자,005930,59800,60700,59700,59900,11071231,0.003350083752093891
2020-02-12,삼성전자,005930,60300,60700,59700,60500,12904207,0.01001669449081799
2020-02-13,삼성전자,005930,61200,61600,60500,60700,18449775,0.0033057851239668423
2020-02-14,삼성전자,005930,60900,61900,60200,61800,13276067,0.01812191103789118
2020-02-17,삼성전자,005930,61600,62000,61200,61500,8740596,-0.004854368932038833
2020-02-18,삼성전자,005930,60800,60900,59700,59800,16674266,-0.027642276422764178
2020-02-19,삼성전자,005930,59800,60400,59400,60200,12951496,0.006688963210702337
2020-02-20,삼성전자,005930,60700,61300,59600,60000,14591924,-0.0033222591362126463
2020-02-21,삼성전자,005930,58800,59800,58500,59200,13777393,-0.013333333333333308
2020-02-24,삼성전자,005930,57400,58100,56800,56800,25627537,-0.04054054054054057
2020-02-25,삼성전자,005930,56200,58000,56200,57900,23885408,0.01936619718309851
2020-02-26,삼성전자,005930,56000,57000,56000,56500,25483102,-0.024179620034542326
2020-02-27,삼성전자,005930,56300,56900,55500,55900,23209541,-0.010619469026548645
2020-02-28,삼성전자,005930,55000,55500,54200,54200,30054227,-0.030411449016100156
2020-03-02,삼성전자,005930,54300,55500,53600,55000,30403412,0.014760147601476037
2020-03-03,삼성전자,005930,56700,56900,55100,55400,30330295,0.0072727272727273196
2020-03-04,삼성전자,005930,54800,57600,54600,57400,24765728,0.036101083032491044
2020-03-05,삼성전자,005930,57600,58000,56700,57800,21698990,0.006968641114982521
2020-03-06,삼성전자,005930,56500,57200,56200,56500,18716656,-0.02249134948096887
2020-03-09,삼성전자,005930,54700,55000,53600,54200,30261485,-0.04070796460176995
2020-03-10,삼성전자,005930,53800,54900,53700,54600,32106554,0.007380073800737907
2020-03-11,삼성전자,005930,54300,54400,52000,52100,45707281,-0.045787545787545736
2020-03-12,삼성전자,005930,51000,51900,49300,50800,48149999,-0.0249520153550864
2020-03-13,삼성전자,005930,47450,51600,46850,49950,59462933,-0.0167322834645669
2020-03-16,삼성전자,005930,50100,50900,48800,48900,33339821,-0.02102102102102099
2020-03-17,삼성전자,005930,46900,49650,46700,47300,51218151,-0.03271983640081799
2020-03-18,삼성전자,005930,47750,48350,45600,45600,40152623,-0.03594080338266381
2020-03-19,삼성전자,005930,46400,46650,42300,42950,56925513,-0.058114035087719285
2020-03-20,삼성전자,005930,44150,45500,43550,45400,49730008,0.057043073341094264
2020-03-23,삼성전자,005930,42600,43550,42400,42500,41701626,-0.06387665198237891
2020-03-24,삼성전자,005930,43850,46950,43050,46950,49801908,0.1047058823529412
2020-03-25,삼성전자,005930,48950,49600,47150,48650,52735922,0.03620873269435565
2020-03-26,삼성전자,005930,49000,49300,47700,47800,42185129,-0.0174717368961973
2020-03-27,삼성전자,005930,49600,49700,46850,48300,39896178,0.010460251046025215
2020-03-30,삼성전자,005930,47050,48350,46550,47850,26797395,-0.009316770186335366
2020-03-31,삼성전자,005930,48000,48500,47150,47750,30654261,-0.002089864158829724
2020-04-01,삼성전자,005930,47450,47900,45800,45800,27259532,-0.0408376963350785
2020-04-02,삼성전자,005930,46200,46850,45350,46800,21621076,0.02183406113537112
2020-04-03,삼성전자,005930,47400,47600,46550,47000,22784682,0.004273504273504258
2020-04-06,삼성전자,005930,47500,48800,47250,48700,23395726,0.036170212765957555
2020-04-07,삼성전자,005930,49650,50200,49000,49600,31524034,0.01848049281314168
2020-04-08,삼성전자,005930,49600,49750,48600,48600,25010314,-0.020161290322580627
2020-04-09,삼성전자,005930,49750,49800,48700,49100,22628058,0.010288065843621297
2020-04-10,삼성전자,005930,48950,49250,48650,49250,17839111,0.003054989816700715
2020-04-13,삼성전자,005930,48650,48900,48300,48300,14431800,-0.019289340101522834
2020-04-14,삼성전자,005930,48800,49200,48300,49000,14206216,0.01449275362318847
2020-04-16,삼성전자,005930,49350,49350,48550,49000,23349760,0.0
2020-04-17,삼성전자,005930,50800,52000,50300,51400,32041675,0.048979591836734615
2020-04-20,삼성전자,005930,51400,51400,50000,50100,21866354,-0.02529182879377434
2020-04-21,삼성전자,005930,49400,49700,48700,49250,27407543,-0.01696606786427146
2020-04-22,삼성전자,005930,48700,50000,48350,49850,18613864,0.012182741116751217
2020-04-23,삼성전자,005930,50200,50300,49500,49850,18754442,0.0
2020-04-24,삼성전자,005930,49650,49750,49000,49350,15618347,-0.010030090270812475
2020-04-27,삼성전자,005930,49350,50000,49100,49850,14049471,0.010131712259371817
2020-04-28,삼성전자,005930,49850,50100,49300,50100,16095399,0.005015045135406293
2020-04-29,삼성전자,005930,49900,50500,49600,50000,15604533,-0.001996007984031989
2020-05-04,삼성전자,005930,48900,49100,48500,48500,26083749,-0.030000000000000027
2020-05-06,삼성전자,005930,49000,49200,48500,49200,18070225,0.014432989690721598
2020-05-07,삼성전자,005930,49200,49300,48700,48800,13884411,-0.008130081300813052
2020-05-08,삼성전자,005930,49100,49350,48800,48800,15319700,0.0
2020-05-11,삼성전자,005930,48900,49250,48300,48400,16357743,-0.008196721311475419
2020-05-12,삼성전자,005930,48400,48500,47550,47900,23433590,-0.010330578512396715
2020-05-13,삼성전자,005930,47250,48550,47200,48550,20223277,0.013569937369519725
2020-05-14,삼성전자,005930,47750,48100,47650,48000,19305974,-0.011328527291452062
2020-05-15,삼성전자,005930,48400,48450,47700,47850,18463118,-0.0031250000000000444
2020-05-18,삼성전자,005930,47950,49100,47600,48800,20481981,0.01985370950888199
2020-05-19,삼성전자,005930,50100,50500,49700,50300,25168295,0.03073770491803285
2020-05-20,삼성전자,005930,50000,50200,49800,50000,14896899,-0.005964214711729587
2020-05-21,삼성전자,005930,50300,50400,49850,49950,14949266,-0.0010000000000000009
2020-05-22,삼성전자,005930,49600,49800,48600,48750,19706284,-0.024024024024024038
2020-05-25,삼성전자,005930,48750,48900,48450,48850,14337913,0.002051282051282133
2020-05-26,삼성전자,005930,48700,49450,48600,49250,15127490,0.008188331627430934
2020-05-27,삼성전자,005930,48950,50000,48800,49900,19548479,0.013197969543147225
2020-05-28,삼성전자,005930,51100,51200,49900,50400,31309318,0.01002004008016022
2020-05-29,삼성전자,005930,50000,50700,49700,50700,27596961,0.005952380952380931
2020-06-01,삼성전자,005930,50800,51200,50600,51200,16949183,0.009861932938856066
2020-06-02,삼성전자,005930,51000,51500,50800,51400,14247933,0.00390625
2020-06-03,삼성전자,005930,51800,55000,51700,54500,49257814,0.060311284046692615
2020-06-04,삼성전자,005930,55800,57000,54600,54600,40220334,0.0018348623853210455
2020-06-05,삼성전자,005930,54400,55900,54000,55500,22743629,0.016483516483516425
2020-06-08,삼성전자,005930,56400,56500,54700,54900,25634965,-0.010810810810810811
2020-06-09,삼성전자,005930,55800,56500,54400,55500,23998831,0.010928961748633892
2020-06-10,삼성전자,005930,55100,55900,54900,55400,16742493,-0.0018018018018017834
2020-06-11,삼성전자,005930,54500,55100,53200,54300,33815123,-0.019855595667869985
2020-06-12,삼성전자,005930,52100,52800,51500,52300,26976019,-0.036832412523020275
2020-06-15,삼성전자,005930,51400,52000,49900,49900,28772921,-0.04588910133843216
2020-06-16,삼성전자,005930,51200,52100,50600,52100,21808375,0.044088176352705455
2020-06-17,삼성전자,005930,52100,52900,51300,52200,26672595,0.0019193857965451588
2020-06-18,삼성전자,005930,52200,52300,51600,52300,15982926,0.0019157088122605526
2020-06-19,삼성전자,005930,52600,52900,51600,52900,18157985,0.011472275334607929
2020-06-22,삼성전자,005930,52000,52600,51800,52000,13801350,-0.017013232514177745
2020-06-23,삼성전자,005930,52500,52800,51100,51400,18086152,-0.011538461538461497
2020-06-24,삼성전자,005930,51900,53900,51600,52900,24519552,0.029182879377431803
2020-06-25,삼성전자,005930,52100,53000,51900,51900,18541624,-0.018903591682419618
