Date,StockName,StockCode,Open,High,Low,Close,Volume,Change
2020-01-02,아모레퍼시픽,090430,202500,209500,197000,207500,244784,0.03750000000000009
2020-01-03,아모레퍼시픽,090430,210000,212500,205000,206500,235872,-0.004819277108433773
2020-01-06,아모레퍼시픽,090430,204500,210000,203500,207000,185010,0.002421307506053294
2020-01-07,아모레퍼시픽,090430,209000,222500,209000,222500,487251,0.07487922705314021
2020-01-08,아모레퍼시픽,090430,219500,220000,211000,214000,418040,-0.038202247191011285
2020-01-09,아모레퍼시픽,090430,218500,219000,210000,212000,275845,-0.009345794392523366
2020-01-10,아모레퍼시픽,090430,213500,221000,213500,220500,309458,0.04009433962264142
2020-01-13,아모레퍼시픽,090430,223000,236000,221000,232000,561971,0.05215419501133778
2020-01-14,아모레퍼시픽,090430,234500,238000,228500,234500,329888,0.010775862068965525
2020-01-15,아모레퍼시픽,090430,236000,238000,231500,234500,199803,0.0
2020-01-16,아모레퍼시픽,090430,236000,236500,232000,236500,216855,0.008528784648187626
2020-01-17,아모레퍼시픽,090430,237000,240500,232000,236500,249011,0.0
2020-01-20,아모레퍼시픽,090430,236500,237000,222500,225000,567605,-0.04862579281183932
2020-01-21,아모레퍼시픽,090430,222000,227000,217000,219000,445999,-0.026666666666666616
2020-01-22,아모레퍼시픽,090430,215500,224500,215000,223500,423623,0.020547945205479534
2020-01-23,아모레퍼시픽,090430,218500,219000,211000,212500,467540,-0.04921700223713643
2020-01-28,아모레퍼시픽,090430,195000,198000,191000,194500,836404,-0.08470588235294119
2020-01-29,아모레퍼시픽,090430,196500,203000,190500,202500,639606,0.041131105398457546
2020-01-30,아모레퍼시픽,090430,202000,202000,191000,194000,501382,-0.041975308641975295
2020-01-31,아모레퍼시픽,090430,194500,197000,187000,188000,412907,-0.030927835051546393
2020-02-03,아모레퍼시픽,090430,181500,193000,179500,191000,407737,0.015957446808510634
2020-02-04,아모레퍼시픽,090430,191500,198000,189000,197000,418341,0.03141361256544495
2020-02-05,아모레퍼시픽,090430,199000,201500,180000,182000,1075027,-0.07614213197969544
2020-02-06,아모레퍼시픽,090430,180500,184500,176000,183000,836381,0.005494505494505475
2020-02-07,아모레퍼시픽,090430,182000,184500,176500,178000,677226,-0.02732240437158473
2020-02-10,아모레퍼시픽,090430,178000,182000,175000,182000,398642,0.022471910112359605
2020-02-11,아모레퍼시픽,090430,183000,187000,181500,182500,422297,0.0027472527472527375
2020-02-12,아모레퍼시픽,090430,183000,191500,181000,189500,550848,0.03835616438356171
2020-02-13,아모레퍼시픽,090430,190500,195000,187500,189000,483640,-0.0026385224274406704
2020-02-14,아모레퍼시픽,090430,187500,191500,187000,190500,200811,0.007936507936507908
2020-02-17,아모레퍼시픽,090430,194500,198500,191000,194500,402462,0.0209973753280841
2020-02-18,아모레퍼시픽,090430,194500,194500,189000,190000,200139,-0.023136246786632397
2020-02-19,아모레퍼시픽,090430,190000,192500,185000,188000,272526,-0.010526315789473717
2020-02-20,아모레퍼시픽,090430,188000,190000,182500,183500,418611,-0.02393617021276595
2020-02-21,아모레퍼시픽,090430,180000,186500,178500,182000,284559,-0.008174386920980936
2020-02-24,아모레퍼시픽,090430,176000,178000,172500,173000,495760,-0.0494505494505495
2020-02-25,아모레퍼시픽,090430,173000,176000,171000,175000,449887,0.011560693641618602
2020-02-26,아모레퍼시픽,090430,172500,174000,170500,171500,315053,-0.020000000000000018
2020-02-27,아모레퍼시픽,090430,171500,173500,165000,168500,363108,-0.017492711370262426
2020-02-28,아모레퍼시픽,090430,164000,167500,158000,161000,597683,-0.04451038575667654
2020-03-02,아모레퍼시픽,090430,161000,168500,160000,166500,379836,0.03416149068322971
2020-03-03,아모레퍼시픽,090430,170500,171500,163500,164000,334135,-0.01501501501501501
2020-03-04,아모레퍼시픽,090430,164000,169500,163500,167000,251076,0.018292682926829285
2020-03-05,아모레퍼시픽,090430,170000,174500,167000,172500,352295,0.03293413173652704
2020-03-06,아모레퍼시픽,090430,170500,170500,166500,169000,209291,-0.020289855072463725
2020-03-09,아모레퍼시픽,090430,164500,167500,162000,162500,219827,-0.038461538461538436
2020-03-10,아모레퍼시픽,090430,160000,169000,159000,167000,390471,0.027692307692307683
2020-03-11,아모레퍼시픽,090430,167500,169000,158000,159000,310982,-0.04790419161676651
2020-03-12,아모레퍼시픽,090430,158500,160500,151500,155000,630482,-0.02515723270440251
2020-03-13,아모레퍼시픽,090430,144000,155500,144000,151000,629423,-0.02580645161290318
2020-03-16,아모레퍼시픽,090430,155000,157500,147000,147500,263134,-0.023178807947019875
2020-03-17,아모레퍼시픽,090430,142000,156000,141500,155000,412149,0.05084745762711873
2020-03-18,아모레퍼시픽,090430,157000,178000,155000,160000,895111,0.032258064516129004
2020-03-19,아모레퍼시픽,090430,168500,171500,151000,159500,932490,-0.0031250000000000444
2020-03-20,아모레퍼시픽,090430,168000,169000,158500,165500,380927,0.037617554858934144
2020-03-23,아모레퍼시픽,090430,154500,163500,153500,159500,316855,-0.03625377643504535
2020-03-24,아모레퍼시픽,090430,163500,173000,161000,171000,433417,0.07210031347962387
2020-03-25,아모레퍼시픽,090430,177500,182500,174500,177500,479162,0.03801169590643272
2020-03-26,아모레퍼시픽,090430,178500,182000,174000,178000,414298,0.0028169014084507005
2020-03-27,아모레퍼시픽,090430,185000,185000,167500,172000,432871,-0.0337078651685393
2020-03-30,아모레퍼시픽,090430,165500,170000,163000,169000,284889,-0.01744186046511631
2020-03-31,아모레퍼시픽,090430,173000,173000,164500,168500,302409,-0.00295857988165682
2020-04-01,아모레퍼시픽,090430,165500,167500,157500,158000,422750,-0.06231454005934722
2020-04-02,아모레퍼시픽,090430,159000,163500,156000,161500,266576,0.02215189873417711
2020-04-03,아모레퍼시픽,090430,161000,163000,158500,161000,192112,-0.003095975232198178
2020-04-06,아모레퍼시픽,090430,162500,167500,162000,167000,330947,0.037267080745341685
2020-04-07,아모레퍼시픽,090430,171000,172500,165500,170000,324276,0.017964071856287456
2020-04-08,아모레퍼시픽,090430,169500,176500,166500,171500,466827,0.008823529411764675
2020-04-09,아모레퍼시픽,090430,174500,175000,168500,171500,366516,0.0
2020-04-10,아모레퍼시픽,090430,170000,172500,167500,172000,213747,0.00291545189504383
2020-04-13,아모레퍼시픽,090430,173000,175500,169000,171500,310311,-0.0029069767441860517
2020-04-14,아모레퍼시픽,090430,174000,174000,171000,172000,179886,0.00291545189504383
2020-04-16,아모레퍼시픽,090430,169500,173000,169000,172500,198097,0.0029069767441860517
2020-04-17,아모레퍼시픽,090430,176000,185000,175500,180500,658064,0.04637681159420293
2020-04-20,아모레퍼시픽,090430,180500,182500,177000,177000,294843,-0.01939058171745156
2020-04-21,아모레퍼시픽,090430,176000,178500,164000,172000,489241,-0.02824858757062143
2020-04-22,아모레퍼시픽,090430,171000,175000,168000,175000,217773,0.01744186046511631
2020-04-23,아모레퍼시픽,090430,174500,178500,171500,176500,384962,0.008571428571428674
2020-04-24,아모레퍼시픽,090430,175500,176000,170000,171000,334396,-0.031161473087818692
2020-04-27,아모레퍼시픽,090430,171500,173000,170500,171500,231835,0.0029239766081872176
2020-04-28,아모레퍼시픽,090430,173000,181000,171000,176000,599392,0.026239067055393583
2020-04-29,아모레퍼시픽,090430,178000,179000,173000,177000,445182,0.005681818181818121
2020-05-04,아모레퍼시픽,090430,174500,181500,173500,174500,405793,-0.01412429378531077
2020-05-06,아모레퍼시픽,090430,179000,181000,177000,178000,288720,0.02005730659025784
2020-05-07,아모레퍼시픽,090430,177500,180000,176500,179500,272948,0.008426966292134797
2020-05-08,아모레퍼시픽,090430,182000,184000,180500,181500,337541,0.011142061281337101
2020-05-11,아모레퍼시픽,090430,181000,181000,175500,175500,303382,-0.03305785123966942
2020-05-12,아모레퍼시픽,090430,175500,176000,171500,172000,318411,-0.019943019943019946
2020-05-13,아모레퍼시픽,090430,169500,175000,169000,175000,196618,0.01744186046511631
2020-05-14,아모레퍼시픽,090430,176000,176500,171500,176000,278082,0.005714285714285783
2020-05-15,아모레퍼시픽,090430,175500,175500,170000,170500,279262,-0.03125
2020-05-18,아모레퍼시픽,090430,171000,172000,168500,172000,198110,0.008797653958944274
2020-05-19,아모레퍼시픽,090430,176500,179000,174500,177000,413902,0.029069767441860517
2020-05-20,아모레퍼시픽,090430,175500,177500,175000,175000,211116,-0.011299435028248594
2020-05-21,아모레퍼시픽,090430,176500,177000,174000,175000,206479,0.0
2020-05-22,아모레퍼시픽,090430,176000,177000,169500,170000,348683,-0.02857142857142858
2020-05-25,아모레퍼시픽,090430,171000,171500,166000,168500,305625,-0.008823529411764675
2020-05-26,아모레퍼시픽,090430,168500,169500,166500,167500,315733,-0.005934718100890191
2020-05-27,아모레퍼시픽,090430,168000,169500,167500,169500,221775,0.011940298507462588
2020-05-28,아모레퍼시픽,090430,171000,171000,165500,166500,312398,-0.017699115044247815
2020-05-29,아모레퍼시픽,090430,165500,166000,162000,163000,380315,-0.02102102102102099
2020-06-01,아모레퍼시픽,090430,163500,167000,162000,166000,220312,0.018404907975460016
