Date,StockName,StockCode,Open,High,Low,Close,Volume,Change
2020-01-02,코미팜,041960,13912,13912,13549,13731,433834,-0.009807456551525151
2020-01-03,코미팜,041960,13730,13867,13367,13367,506201,-0.026509358386133552
2020-01-06,코미팜,041960,13094,13185,12822,12822,489724,-0.04077205057230493
2020-01-07,코미팜,041960,12958,13094,12776,12913,292868,0.0070971767274996544
2020-01-08,코미팜,041960,13003,13003,12139,12185,773614,-0.05637729419964377
2020-01-09,코미팜,041960,12639,12912,12503,12867,359447,0.05597045547804669
2020-01-10,코미팜,041960,12867,13048,12639,12958,278438,0.007072355638454875
2020-01-13,코미팜,041960,12958,13094,12776,13004,192564,0.00354993054483721
2020-01-14,코미팜,041960,13094,13503,12912,12958,368310,-0.0035373731159643595
2020-01-15,코미팜,041960,12867,13003,12776,12822,172189,-0.010495446828214239
2020-01-16,코미팜,041960,12867,13094,12821,12958,177841,0.010606769614724731
2020-01-17,코미팜,041960,13049,13094,12776,12913,220252,-0.00347275814168857
2020-01-20,코미팜,041960,13003,13685,12684,13185,968112,0.021064043986680048
2020-01-21,코미팜,041960,13276,13457,12639,12776,536623,-0.031020098596890366
2020-01-22,코미팜,041960,12730,13867,12685,13322,1487358,0.04273638071383834
2020-01-23,코미팜,041960,13822,13913,13140,13231,1033988,-0.006830806185257443
2020-01-28,코미팜,041960,13504,13640,12822,13004,1415418,-0.01715667749981109
2020-01-29,코미팜,041960,13276,13322,12594,12640,955287,-0.027991387265456802
2020-01-30,코미팜,041960,12640,13867,12139,12822,2831331,0.014398734177215156
2020-01-31,코미팜,041960,12639,12866,12185,12185,642887,-0.04968023709249725
2020-02-03,코미팜,041960,11821,12185,11548,11685,729711,-0.041034058268362705
2020-02-04,코미팜,041960,11685,12048,11639,11958,381912,0.023363286264441507
2020-02-05,코미팜,041960,12049,12276,12003,12231,313668,0.022829904666332057
2020-02-06,코미팜,041960,12230,12548,12093,12503,291063,0.02223857411495378
2020-02-07,코미팜,041960,12412,12593,12275,12503,239839,0.0
2020-02-10,코미팜,041960,12458,12639,12230,12549,236596,0.0036791170119170324
2020-02-11,코미팜,041960,12594,12730,12457,12685,227631,0.010837516933620117
2020-02-12,코미팜,041960,12594,12776,12458,12640,194364,-0.0035474970437524567
2020-02-13,코미팜,041960,12594,12776,12367,12458,277234,-0.014398734177215156
2020-02-14,코미팜,041960,12457,12866,12412,12685,404980,0.01822122331032272
2020-02-17,코미팜,041960,12684,12730,12457,12503,236550,-0.01434765471028776
2020-02-18,코미팜,041960,12412,12457,11912,11912,369593,-0.04726865552267456
2020-02-19,코미팜,041960,12003,12094,11730,12049,219482,0.011501007387508366
2020-02-20,코미팜,041960,12048,12139,11866,12003,206655,-0.0038177442111378967
2020-02-21,코미팜,041960,11867,12049,11640,11640,325738,-0.030242439390152476
2020-02-24,코미팜,041960,11276,11548,10957,11367,729328,-0.023453608247422708
2020-02-25,코미팜,041960,11639,11957,11366,11821,466275,0.03994017770739866
2020-02-26,코미팜,041960,11503,12457,11503,12276,536566,0.03849082141950766
