Date,StockName,StockCode,Open,High,Low,Close,Volume,Change
2020-01-02,진에어,272450,13289,13419,13246,13289,100738,0.0
2020-01-03,진에어,272450,13289,13550,13159,13246,132958,-0.003235758898336938
2020-01-06,진에어,272450,13028,14287,12463,12856,577988,-0.029442850671901
2020-01-07,진에어,272450,13115,13202,12898,12986,127604,0.010112009956440682
2020-01-08,진에어,272450,12941,13637,12854,13203,353626,0.016710303403665527
2020-01-09,진에어,272450,13463,13983,13332,13767,312125,0.04271756418995687
2020-01-10,진에어,272450,13767,14157,13680,14072,169151,0.022154427253577413
2020-01-13,진에어,272450,14331,14722,13767,13854,290232,-0.015491756679931745
2020-01-14,진에어,272450,13810,13941,13419,13637,198539,-0.015663346325970884
2020-01-15,진에어,272450,13767,13854,13550,13637,110943,0.0
2020-01-16,진에어,272450,13767,14027,13593,13898,112749,0.01913910684168063
2020-01-17,진에어,272450,13941,13983,13724,13854,107494,-0.003165923154410666
2020-01-20,진에어,272450,13897,14027,13637,13724,119664,-0.009383571531687562
2020-01-21,진에어,272450,13767,13767,13246,13420,171434,-0.022150976391722477
2020-01-22,진에어,272450,13202,13550,13202,13376,91361,-0.003278688524590123
2020-01-23,진에어,272450,13246,13376,13028,13203,96763,-0.012933612440191422
2020-01-28,진에어,272450,12420,12550,11986,11987,561992,-0.09210028023933958
2020-01-29,진에어,272450,12030,12681,12030,12465,212053,0.039876532910653184
2020-01-30,진에어,272450,12463,12507,12204,12334,102988,-0.010509426393902954
2020-01-31,진에어,272450,12290,12637,12246,12465,120989,0.010621047510945392
2020-02-03,진에어,272450,12073,12941,12030,12943,199887,0.0383473726434016
2020-02-04,진에어,272450,12681,13246,12681,13030,125163,0.0067217801128023336
2020-02-05,진에어,272450,13332,13332,12724,12986,87368,-0.0033768227168073928
2020-02-06,진에어,272450,12985,13246,12854,13116,91872,0.010010780840905564
2020-02-07,진에어,272450,12985,13115,12898,13116,74477,0.0
2020-02-10,진에어,272450,13072,13072,12594,12986,136370,-0.009911558401951792
2020-02-11,진에어,272450,12941,12941,12637,12769,105138,-0.016710303403665527
2020-02-12,진에어,272450,12681,12941,12637,12812,118567,0.003367530738507263
2020-02-13,진에어,272450,12898,12941,12681,12856,85013,0.0034342803621605356
2020-02-14,진에어,272450,12724,12898,12637,12769,68742,-0.006767268201617882
2020-02-17,진에어,272450,12637,12768,12594,12726,75634,-0.003367530738507374
2020-02-18,진에어,272450,12681,12854,12550,12726,91488,0.0
2020-02-19,진에어,272450,12637,12724,12376,12465,115891,-0.020509193776520496
2020-02-20,진에어,272450,12290,12507,12117,12248,144550,-0.01740874448455676
2020-02-21,진에어,272450,12073,12117,11943,11987,169575,-0.021309601567602865
2020-02-24,진에어,272450,11595,11682,10900,10988,278142,-0.08334028530908488
2020-02-25,진에어,272450,10639,11291,10639,11119,243527,0.011922096832908569
2020-02-26,진에어,272450,10900,11769,10770,11119,388258,0.0
2020-02-27,진에어,272450,11117,11508,10943,11075,156958,-0.003957190394819676
2020-02-28,진에어,272450,10770,10813,10423,10554,163468,-0.04704288939051915
2020-03-02,진에어,272450,10423,11204,10075,10597,260934,0.004074284631419456
2020-03-03,진에어,272450,10770,11595,10639,10641,494829,0.004152118524110682
